Test,Station,DSP,REQ_ID,Job Title,English Job title,Title Appropriate?,Salary Mentioned?,Phone Number in JD,JD Formatted Correctly?,JOB_URL
1,DGO2,ASJ Logistica,100019,VAGAS PARA TRANSPORTADORES AUTÔNOMOS,VACANCIES FOR SELF-EMPLOYED TRANSPORTERS,"No. 
Candidate is not going to search for a title like this. Candidate will search for titles like 'Delivery driver', 'Delivery Partner' or ""Transporter'","Yes – R$ 296/day (Mon–Sat), R$ 359/day (Sun/holidays)",Yes,Yes – uses clear sections and bullet‐style lists,https://entregapro.com/job/e6c7d236f20aaa5e94fd378fe2f064bc
1,DGO2,CAMELO TRANSPORTES E ENCOMENDAS LTDA,100021,"Oportunidade para Motoristas Parceiros (Utilitários, VUC, Carro de Passeio)","Opportunity for Partner Drivers (Utility Vehicles, VUC, Passenger Cars)","Yes – descriptive for partner-driver role.
Remove 'Opportunity for'. Only 'Partner Drivers (Utility Vehicles, VUC, Passenger Cars)' is sufficient",No,No,No – paragraphs with vehicle lists,https://entregapro.com/job/df5171221afedd27a7c0a85ba48d4fbf
1,DGO2,Soure Express,100034,"Oportunidade para Motoristas Parceiros (Utilitários,VUC, Carro de Passeio)","Opportunity for Partner Drivers (Utility Vehicles, VUC, Passenger Car)","Yes
'Opportunity for' can be removed",No,No,"No
Needs more details and formatting",https://entregapro.com/job/5749af64e898628eb61b12019aeba0d0
1,DCE3,Imperio logistica,100012,MOTORISTA,DRIVER,"No
It should be 'Delivery Driver'",No,No,Minimal – single‐line description,https://entregapro.com/job/c3c87a1ada6262715fadf95e7306ab4e
1,DCE3,Motorize Serviços Logisticos Ltda,100026,Junte-se ao Time da Motorize e Seja um Motorista Parceiro,Join the Motorize Team and Become a Partner Driver!,"No
A better job title will be 'Partner Driver - Motorise Team'",Yes – R$ 98–565 BRL/day,No,Yes – bullets and salary clearly separated,https://entregapro.com/job/1f4fe9de595a45235d97bbd04f6a0eca
1,DCE3,Motorize Serviços Logisticos Ltda,100027,Junte-se ao Time da Motorize e Seja um Motorista Parceiro!,Join the Motorize Team and Become a Partner Driver!,"No
A better job title will be 'Partner Driver - Motorise Team'",Yes – R$ 24.5–46.5 BRL/hour,No,Yes – bullets and salary clearly separated,https://entregapro.com/job/aaf3b7e55b1cd4cb7f5eb1403cf6823d
,,,,,,,,,,#N/A
1,DCE3,Ir Log Servico de Entrega Ltda,100022,VAGA PARA ENTREGADOR – D2D – FIORINO E AFINS!,VACANCY FOR DELIVERY PERSON – D2D – FIORINO AND SIMILAR!,"Yes – calls out D2D and vehicle types
Remove 'Vacancy for' and keep only 'DELIVERY PERSON – D2D – FIORINO AND SIMILAR!'",Yes – R$ 7 000–10 000 BRL/month,No,Yes – bullet list for requirements,https://entregapro.com/job/61b4ca136c04fd69e694dd7c967293e7
1,DBH5,ALC & Pereira Filho Transportes LTDA,100041,ESTAMOS AGREGANDO UTILITÁRIOS INÍCIO IMEDIATO,WE ARE AGGREGATING UTILITIES START IMMEDIATELY,"No – vague, missing role in title",Yes – R$ 300–375/day + R$ 0.57/km; weekend rates,No,Yes – well-structured rate tables and document lists,https://entregapro.com/job/25fe616f1894de995ffd66791a234672
1,DBH5,GDG Express Falcon,100073,Motorista – com veículo,Driver – with vehicle,"Decent
Can improve it to 'Delivery Driver - Self-owned Vehicle'",No,No,Minimal – single paragraph,https://entregapro.com/job/20cb6b3e9f065aa24c6cfb5422ec21a
1,DBH5,LEMM Transporte e Logística LTDA,100042,Oportunidade para Motoristas Parceiros (LEMM Transporte),Opportunity for Partner Drivers (LEMM Transport),Remove 'Opportunity for' and keep 'Partner Drivers (LEMM Transport)',Yes – R$ 300–450 BRL/day,No,Yes – bullet-style sections,https://entregapro.com/job/34d0e2052f2cc6d21c69f3a27fa473a8
1,DBH5,ZIAD LOGISTICA,100051,Agregamos veículos de carga (MOG LOGÍSTICA),We aggregate cargo vehicles (MOG LOGISTICS),"No
Does not talk about the role clearly",Yes – R$ 272–340 BRL/day,No,Minimal – single paragraph,https://entregapro.com/job/46f17679e6594833e4bd46669005d64b
